Hostname;Offset;Delay;rootDispersion
ntp.mazzanet.net.au;-0.011978;0.197376;0.000015
ntp.mazzanet.net.au;0.010934;0.176418;0.000025
ntp.mazzanet.net.au;0.002042;0.183579;0.000001
ntp.mazzanet.net.au;0.002558;0.184283;0.000027
ntp.mazzanet.net.au;0.002704;0.183068;0.000053
ntp.mazzanet.net.au;-0.006485;0.188369;0.000029
ntp.mazzanet.net.au;-0.023630;0.188198;0.000055
ntp.mazzanet.net.au;-0.028938;0.186745;0.000015
ntp.mazzanet.net.au;-0.032096;0.185428;0.000057
ntp.mazzanet.net.au;-0.044477;0.218325;0.000017
ntp.mazzanet.net.au;-0.053823;0.203471;0.000058
ntp.mazzanet.net.au;-0.032085;0.181754;0.000004
ntp.mazzanet.net.au;-0.032065;0.183497;0.000030
ntp.mazzanet.net.au;-0.033784;0.183849;0.000005
ntp.mazzanet.net.au;-0.032571;0.183959;0.000031
ntp.mazzanet.net.au;-0.034507;0.184222;0.000057
ntp.mazzanet.net.au;-0.039222;0.185522;0.000033
ntp.mazzanet.net.au;-0.021770;0.167382;0.000059
ntp.mazzanet.net.au;-0.058084;0.202804;0.000035
ntp.mazzanet.net.au;-0.042538;0.184492;0.000061
ntp.mazzanet.net.au;-0.041552;0.183868;0.000006
ntp.mazzanet.net.au;-0.039502;0.182764;0.000047
ntp.mazzanet.net.au;-0.039596;0.182889;0.000008
ntp.mazzanet.net.au;-0.026309;0.174862;0.000034
ntp.mazzanet.net.au;-0.038884;0.184767;0.000010
ntp.mazzanet.net.au;-0.018901;0.166131;0.000036
ntp.mazzanet.net.au;-0.055408;0.202609;0.000011
ntp.mazzanet.net.au;-0.039732;0.185161;0.000037
ntp.mazzanet.net.au;-0.041494;0.185687;0.000055
ntp.mazzanet.net.au;-0.040898;0.183972;0.000015
ntp.mazzanet.net.au;-0.040307;0.183923;0.000041
ntp.mazzanet.net.au;-0.040524;0.184053;0.000002
ntp.mazzanet.net.au;-0.041373;0.184069;0.000043
ntp.mazzanet.net.au;-0.044870;0.183968;0.000003
ntp.mazzanet.net.au;-0.045015;0.184030;0.000045
ntp.mazzanet.net.au;-0.046035;0.184475;0.000005
ntp.mazzanet.net.au;-0.049048;0.184273;0.000031
ntp.mazzanet.net.au;-0.049278;0.184370;0.000007
ntp.mazzanet.net.au;-0.051245;0.185901;0.000018
ntp.mazzanet.net.au;-0.051713;0.183981;0.000044
ntp.mazzanet.net.au;-0.055399;0.185521;0.000020
ntp.mazzanet.net.au;-0.054876;0.184572;0.000046
ntp.mazzanet.net.au;-0.037417;0.165664;0.000021
ntp.mazzanet.net.au;-0.077507;0.203522;0.000047
ntp.mazzanet.net.au;-0.058374;0.184364;0.000008
ntp.mazzanet.net.au;-0.041907;0.185750;0.000049
ntp.mazzanet.net.au;-0.060344;0.184594;0.000010
ntp.mazzanet.net.au;-0.062074;0.183924;0.000036
ntp.mazzanet.net.au;-0.039598;0.184105;0.000062
ntp.mazzanet.net.au;-0.067837;0.185877;0.000022
ntp.mazzanet.net.au;-0.068143;0.183998;0.000048
ntp.mazzanet.net.au;-0.057082;0.173251;0.000024
ntp.mazzanet.net.au;-0.079895;0.195167;0.000050
ntp.mazzanet.net.au;-0.053432;0.165734;0.000026
ntp.mazzanet.net.au;-0.092539;0.203025;0.000052
ntp.mazzanet.net.au;-0.075690;0.184928;0.000012
ntp.mazzanet.net.au;-0.075445;0.184839;0.000053
ntp.mazzanet.net.au;-0.081094;0.223970;0.000064
ntp.mazzanet.net.au;-0.090471;0.196438;0.000040
ntp.mazzanet.net.au;-0.078666;0.184091;0.000000
ntp.mazzanet.net.au;-0.081979;0.184305;0.000026
ntp.mazzanet.net.au;-0.084044;0.184582;0.000002
ntp.mazzanet.net.au;-0.083823;0.184184;0.000028
ntp.mazzanet.net.au;-0.085880;0.184085;0.000054
ntp.mazzanet.net.au;-0.088324;0.184186;0.000030
ntp.mazzanet.net.au;-0.087990;0.186279;0.000056
ntp.mazzanet.net.au;-0.088867;0.183730;0.000016
ntp.mazzanet.net.au;-0.091152;0.184412;0.000042
ntp.mazzanet.net.au;-0.092767;0.184810;0.000003
ntp.mazzanet.net.au;-0.094448;0.184276;0.000044
ntp.mazzanet.net.au;-0.096794;0.184341;0.000005
ntp.mazzanet.net.au;-0.097667;0.183891;0.000031
ntp.mazzanet.net.au;-0.099495;0.184121;0.000006
ntp.mazzanet.net.au;-0.099616;0.184901;0.000032
ntp.mazzanet.net.au;-0.100598;0.184526;0.000058
ntp.mazzanet.net.au;-0.103147;0.183856;0.000019
ntp.mazzanet.net.au;-0.104389;0.185143;0.000045
ntp.mazzanet.net.au;-0.106184;0.184190;0.000021
ntp.mazzanet.net.au;-0.107347;0.184613;0.000047
ntp.mazzanet.net.au;-0.108694;0.184030;0.000007
ntp.mazzanet.net.au;-0.092913;0.167686;0.000048
ntp.mazzanet.net.au;-0.114510;0.196199;0.000009
ntp.mazzanet.net.au;-0.090448;0.181493;0.000035
ntp.mazzanet.net.au;-0.082568;0.180311;0.000011
ntp.mazzanet.net.au;-0.077202;0.182314;0.000037
ntp.mazzanet.net.au;-0.075687;0.181216;0.000063
ntp.mazzanet.net.au;-0.070251;0.181106;0.000023
ntp.mazzanet.net.au;-0.067719;0.183082;0.000049
ntp.mazzanet.net.au;-0.063659;0.181656;0.000025
ntp.mazzanet.net.au;-0.060037;0.181926;0.000051
ntp.mazzanet.net.au;-0.056243;0.181921;0.000011
ntp.mazzanet.net.au;-0.055511;0.182065;0.000053
ntp.mazzanet.net.au;-0.037465;0.167489;0.000013
ntp.mazzanet.net.au;-0.066143;0.199013;0.000054
ntp.mazzanet.net.au;-0.062012;0.234643;0.000065
ntp.mazzanet.net.au;-0.047195;0.182931;0.000026
ntp.mazzanet.net.au;-0.030953;0.167765;0.000001
ntp.mazzanet.net.au;-0.029011;0.167473;0.000027
ntp.mazzanet.net.au;-0.070336;0.212856;0.000053
ntp.mazzanet.net.au;-0.042850;0.183005;0.000029
